"DateTime","US Dollars ($)"
"2015-12-17 05:00:00",5141370487
"2015-12-18 05:00:00",5140858649
"2015-12-19 05:00:00",5140858649
"2015-12-20 05:00:00",5140858649
"2015-12-21 05:00:00",5345204417
"2015-12-22 05:00:00",5877531489
"2015-12-23 05:00:00",5470480921
"2015-12-24 05:00:00",5544541133
"2015-12-25 05:00:00",5544541133
"2015-12-26 05:00:00",5544541133
"2015-12-27 05:00:00",5544541133
"2015-12-28 05:00:00",5772881646
"2015-12-29 05:00:00",5859825833
"2015-12-30 05:00:00",5692833966
"2015-12-31 05:00:00",5712687868
"2016-01-01 05:00:00",5712687868
"2016-01-02 05:00:00",5712687868
"2016-01-03 05:00:00",5712687868
"2016-01-04 05:00:00",5629294719
"2016-01-05 05:00:00",268692307
"2016-01-06 05:00:00",816890151
"2016-01-07 05:00:00",1617775034
"2016-01-08 05:00:00",1329104061
"2016-01-09 05:00:00",1329104061
"2016-01-10 05:00:00",1329104061
"2016-01-11 05:00:00",1170725133
"2016-01-12 05:00:00",1091579136
"2016-01-13 05:00:00",1029352125
"2016-01-14 05:00:00",959810787
"2016-01-15 05:00:00",485424051
"2016-01-16 05:00:00",485424051
"2016-01-17 05:00:00",485424051
"2016-01-18 05:00:00",485424051
"2016-01-19 05:00:00",1420413662
"2016-01-20 05:00:00",1353100913
"2016-01-21 05:00:00",1381876899
"2016-01-22 05:00:00",1537976025
"2016-01-23 05:00:00",1537976025
"2016-01-24 05:00:00",1537976025
"2016-01-25 05:00:00",1706627878
"2016-01-26 05:00:00",1751049776
"2016-01-27 05:00:00",1543603737
"2016-01-28 05:00:00",1452306481
"2016-01-29 05:00:00",1239860487
"2016-01-30 05:00:00",1239860487
"2016-01-31 05:00:00",1239860487
"2016-02-01 05:00:00",1318051190
"2016-02-02 05:00:00",1518612958
"2016-02-03 05:00:00",1153339748
"2016-02-04 05:00:00",1359138135
"2016-02-05 05:00:00",1356250367
"2016-02-06 05:00:00",1356250367
"2016-02-07 05:00:00",1356250367
"2016-02-08 05:00:00",1332405137
"2016-02-09 05:00:00",1354056119
"2016-02-10 05:00:00",1122290045
"2016-02-11 05:00:00",1249344739
"2016-02-12 05:00:00",343061890
"2016-02-13 05:00:00",343061890
"2016-02-14 05:00:00",343061890
"2016-02-15 05:00:00",343061890
"2016-02-16 05:00:00",249394252
"2016-02-17 05:00:00",191875789
"2016-02-18 05:00:00",1139610455
"2016-02-19 05:00:00",1178415886
"2016-02-20 05:00:00",1178415886
"2016-02-21 05:00:00",1178415886
"2016-02-22 05:00:00",1235238428
"2016-02-23 05:00:00",1587096690
"2016-02-24 05:00:00",1418791777
"2016-02-25 05:00:00",1588433765
"2016-02-26 05:00:00",1650251946
"2016-02-27 05:00:00",1650251946
"2016-02-28 05:00:00",1650251946
"2016-02-29 05:00:00",1730232164
"2016-03-01 05:00:00",1682694188
"2016-03-02 05:00:00",1406466047
"2016-03-03 05:00:00",1466214201
